== Event number 0 ==
-11	 1221.3473 -38.2306 39.2637 1222.5761 0.0000 
11	 2485.3906 -36.8541 46.6442 2486.1014 0.0000 
1000022	 2911.1359 5.6558 16.0011 2912.8011 9410.3964 
1	 -6190.9513 15.8765 66.0730 6191.3242 0.0000 
-11	 -112.4355 22.2389 -29.6176 118.3787 0.0000 
11	 -335.3485 1.6862 -34.5420 337.1270 0.0000 
1000022	 -361.2647 -39.8017 -1.9133 376.1787 9410.3964 
== Event number 11 ==
1	 3770.8059 -225.1349 109.5070 3779.1077 -0.0000 
-11	 11.6337 -5.0041 -3.6127 13.1695 -0.0000 
11	 983.1008 77.2720 -70.8561 988.6752 0.0000 
1000022	 2234.4596 152.8671 -35.0382 2242.0562 9410.3964 
1	 -5688.6689 65.1758 -136.8258 5690.6874 -0.0000 
-11	 -129.1302 -25.2571 -8.6401 131.8604 0.0000 
11	 -508.9399 -40.8532 40.3030 512.1652 -0.0000 
1000022	 -673.2611 0.9345 105.1629 688.2957 9410.3964 
== Event number 12 ==
1	 2991.5604 242.8047 -78.1582 3002.4151 -0.0000 
-11	 801.6829 -37.7185 46.2137 803.8992 0.0000 
11	 976.6673 -98.1603 -6.3608 981.6083 -0.0000 
1000022	 2230.0894 -106.9260 38.3053 2235.0860 9410.3964 
1	 -4074.2258 45.9863 -239.7605 4081.5335 -0.0000 
-11	 -203.9975 21.8929 22.5633 206.4059 -0.0000 
11	 -1095.9781 -21.0458 53.1392 1097.4674 -0.0000 
1000022	 -1625.7985 -46.8333 164.0580 1637.6018 9410.3964 
== Event number 13 ==
1	 6119.9690 -67.4046 53.5538 6120.5745 0.0000 
-11	 95.1683 30.0195 13.8452 100.7465 0.0000 
11	 367.6087 44.9030 -26.3366 371.2762 0.0000 
1000022	 417.2540 -7.5179 -41.0623 430.4113 9410.3964 
1	 -1052.9880 -158.3437 -107.0436 1070.1938 -0.0000 
-11	 -736.6784 10.5229 42.8646 737.9995 0.0000 
11	 -330.5756 19.6193 -18.9923 331.7014 0.0000 
1000022	 -4879.7580 128.2015 83.1714 4883.1139 9410.3964 
== Event number 14 ==
1	 347.8678 -114.7054 28.3098 367.3837 -0.0000 
-11	 2.4965 1.6023 -1.6900 3.4141 0.0000 
11	 3117.2782 45.3320 13.9444 3117.6389 0.0000 
1000022	 3532.3575 67.7712 -40.5641 3534.5719 9410.3964 
1	 -415.0344 71.4521 106.2253 434.3302 0.0000 
-11	 -1362.5205 -41.5381 -3.8991 1363.1591 0.0000 
11	 -847.1069 -5.1319 19.3721 847.3439 -0.0000 
1000022	 -4375.3382 -24.7822 -121.6983 4378.1754 9410.3964 
== Event number 15 ==
1	 1594.6501 -222.1784 9.4706 1610.0813 0.0000 
-11	 970.0265 62.6780 -25.0526 972.3721 0.0000 
11	 466.0704 2.3058 -25.8191 466.7907 0.0000 
1000022	 3969.2530 157.1946 41.4010 3973.7645 9410.3964 
1	 -469.7424 78.6247 110.1970 488.8590 -0.0000 
-11	 -1550.9895 -18.1313 -57.1606 1552.1484 0.0000 
11	 -2127.7336 -34.5654 -53.9929 2128.6992 -0.0000 
1000022	 -2851.5345 -25.9281 0.9565 2853.3020 9410.3964 
== Event number 16 ==
1	 1652.3567 195.8259 110.7048 1667.5988 0.0000 
-11	 1253.4338 -76.2190 -18.6826 1255.8880 -0.0000 
11	 2109.7130 -44.1264 -52.9414 2110.8384 -0.0000 
1000022	 1984.4965 -75.4804 -39.0808 1988.6834 9410.3964 
1	 -5648.4503 -116.7169 103.3104 5650.6006 -0.0000 
-11	 2.0619 -0.4283 0.5576 2.1785 0.0000 
11	 -376.3647 37.8531 -68.0300 384.3324 -0.0000 
1000022	 -977.2468 79.2922 -35.8380 985.8972 9410.3964 
== Event number 17 ==
1	 423.3091 -125.0468 -32.3706 442.5778 0.0000 
-11	 1984.0847 59.0832 -1.8210 1984.9650 -0.0000 
11	 1615.0572 40.4203 -21.5299 1615.7064 0.0000 
1000022	 2977.5490 25.5432 55.7215 2979.7594 9410.3964 
1	 -5428.5601 -71.5625 161.4129 5431.4308 0.0000 
-11	 -466.9617 44.1126 -58.1323 472.6294 -0.0000 
11	 -357.1047 34.6853 -4.4004 358.8122 0.0000 
1000022	 -747.3735 -7.2353 -98.8803 760.1363 9410.3964 
== Event number 18 ==
1	 3938.4137 234.9000 77.1253 3946.1664 -0.0000 
-11	 155.5165 -1.0209 -23.8148 157.3326 0.0000 
11	 1117.6601 -62.2751 2.7065 1119.3969 0.0000 
1000022	 1788.4097 -171.6040 -56.0170 1800.1127 9410.3964 
1	 -2843.3096 -201.4944 154.9746 2854.6500 -0.0000 
-11	 -1199.5973 63.5602 -70.3859 1203.3402 0.0000 
11	 -190.6819 21.8649 -27.4578 193.8856 -0.0000 
1000022	 -2766.4112 116.0692 -57.1309 2771.1328 9410.3964 
== Event number 19 ==
1	 5222.4754 156.3891 -112.2096 5226.0212 -0.0000 
-11	 262.3690 3.7489 -1.2302 262.3987 -0.0000 
11	 239.7331 -54.3983 39.6039 248.9971 0.0000 
1000022	 1275.4225 -105.7397 73.8360 1285.5916 9410.3964 
1	 -966.0404 -179.4192 -43.6814 983.5311 0.0000 
-11	 -2057.4388 49.0732 24.1879 2058.1661 -0.0000 
11	 -505.7616 34.6661 30.4437 507.8616 -0.0000 
1000022	 -3470.7592 95.6799 -10.9502 3473.4499 9410.3964 
== Event number 20 ==
1	 1376.8917 -133.1236 164.3095 1393.0363 -0.0000 
-11	 1217.5216 60.7684 -33.7842 1219.5052 -0.0000 
11	 1137.9127 -17.5892 -48.8512 1139.0966 -0.0000 
1000022	 3267.6741 89.9444 -81.6741 3271.3705 9410.3964 
1	 -5847.5246 -26.9145 -129.6059 5849.0227 0.0000 
-11	 -252.1741 -21.0115 45.5155 257.1088 0.0000 
11	 -375.9989 39.8635 62.0177 383.1585 0.0000 
