EVENT
   94    -21.27    224.49   -371.13    445.95
   11    -11.54    -80.20   -177.62    195.23
  -11    -61.87   -105.11   -219.77    251.35
1000022    -48.39    -67.67   -189.86    228.86
   94    -11.31     59.74    338.48    355.46
  -13     21.03      0.44    -63.36     66.76
   13     34.70     -0.01      9.34     35.94
1000022      4.12    -45.78    -88.17    138.92
EVENT
   94    258.12    -76.33    834.52    876.85
  -13    -74.32     37.62    379.03    388.07
   13    -95.23      1.46    393.26    404.63
1000022    -58.51     18.43    368.75    386.20
   94    243.37     45.84      6.59    249.91
  -11    -91.05      0.85     63.42    110.97
   11    -74.71      2.82     12.91     75.87
1000022    -57.97     -2.17     95.62    148.05
EVENT
   94   -219.73    323.07   -192.25    446.29
  -11     -2.80    -24.32    -24.40     34.57
   11     77.55    -21.75     -2.75     80.59
1000022     71.12      7.58    -68.99    138.87
   94    -13.89    -49.21    267.79    272.86
   13     42.95    -37.94    -31.56     65.42
  -13     11.82   -145.16    -88.37    170.35
1000022     21.83   -116.00    -55.99    162.72
EVENT
   94    -20.25     94.57   -760.42    766.68
   13    -84.25    -54.23   -137.37    170.03
  -13    -91.91    -89.70   -121.43    176.74
1000022   -117.58    -52.20   -113.03    196.82
   94    114.04     37.31   -178.43    215.37
  -11     23.18     -7.55      4.22     24.74
   11      4.08      9.62     97.93     98.49
1000022    171.20     65.53    274.00    343.64
EVENT
   94    229.00    121.69    372.77    457.37
   13    -34.25    -63.35    336.23    343.85
  -13    -30.45    -39.77     65.38     82.36
1000022    -26.26   -123.66    557.30    579.64
   94     97.00     68.55   -261.96    295.20
   11    -78.38     -2.60     38.74     87.48
  -11    -10.53      8.94     60.39     61.95
1000022   -112.09     41.40     44.86    160.32
EVENT
   94    216.72    111.54    -83.80    263.03
  -11     -2.29     -7.96     55.54     56.15
   11     49.51    -41.34    128.87    144.11
1000022    119.74   -157.79    172.32    279.89
   94   -317.38    165.23   -275.81    452.95
   13      2.44    -20.38   -250.74    251.58
  -13    -22.13    -38.87   -163.29    169.31
1000022     21.96     16.86   -286.94    304.16
EVENT
   94    142.89   -209.66    854.06    890.96
  -13     62.76   -140.93     89.38    178.29
   13     10.18    -29.98     67.55     74.61
1000022     63.16   -257.00    138.62    314.11
   94   -279.40     95.78   -228.05    373.76
  -11     13.24     63.53    -25.81     69.84
   11     13.37     48.81     48.81     70.31
1000022     28.93    250.59     15.46    270.71
EVENT
   94   -251.01    -56.71   -113.03    281.07
