EVENT
   94    235.00    124.87    382.54    469.18
   13    -37.73    -69.78    370.36    378.76
  -13    -31.04    -40.55     66.66     83.98
1000022    -23.96   -112.81    508.41    530.28
   94    102.51     72.44   -276.85    311.16
   11    -79.78     -2.65     39.43     89.03
  -11    -10.23      8.69     58.69     60.20
1000022   -101.05     37.32     40.45    150.50
EVENT
   94    220.00    113.22    -85.07    266.85
  -11     -2.18     -7.61     53.07     53.66
   11     45.74    -38.18    119.04    133.12
1000022    122.99   -162.07    177.00    286.59
   94   -292.36    152.21   -254.07    417.43
   13      2.40    -20.11   -247.36    248.19
  -13    -22.72    -39.90   -167.65    173.83
1000022     21.84     16.77   -285.33    302.62
EVENT
   94   -162.61   -170.76    250.03    345.08
  -11     -9.73    -16.68    -17.22     25.87
   11    -52.44     98.20    -94.10    145.77
1000022    -45.39     51.03    -66.45    135.98
   94   -236.28     29.51   -217.97    325.19
  -13     63.93    -28.07    -26.91     74.82
   13     10.96    -27.03     23.28     37.32
1000022    134.97      1.61    -16.80    167.07
EVENT
   94    146.95   -215.63    878.37    916.32
  -13     66.68   -149.74     94.97    189.44
   13      9.94    -29.28     65.96     72.85
1000022     62.60   -254.73    137.39    311.60
   94   -281.37     96.46   -229.66    376.38
  -11     13.94     66.88    -27.17     73.52
   11     13.57     49.57     49.57     71.41
1000022     27.54    238.63     14.72    259.48
EVENT
   94   -247.36    -55.89   -111.38    276.97
   11    -45.58     66.68     14.39     82.04
  -11    -53.30     68.26     30.82     91.93
1000022    -21.98    217.05    156.12    285.27
   94    234.42   -427.13     76.24    495.16
   13     38.36    -34.63     56.07     76.25
  -13    -15.68      0.88     58.27     60.35
1000022    126.08    -25.80    265.38    310.48
EVENT
   94     58.11     62.88    360.48    373.02
   11    157.92    -75.86    106.09    204.81
  -11    189.61    -75.73     90.85    223.47
1000022    159.58   -107.98     71.02    227.11
   94   -187.32   -126.51    309.80    383.85
   13    -27.46     19.67    -40.94     53.07
  -13   -143.01      6.14    -25.09    145.32
1000022   -152.65     69.55    -25.47    195.45
EVENT
   94      6.17    373.43   -289.88    473.40
   13     62.31     32.85   -168.37    182.51
  -13     29.95    -16.38    -48.21     59.08
1000022     81.47     58.91   -624.65    640.08
   94   -258.52     79.68   -339.23    434.38
  -11     24.21    -69.02   -155.90    172.21
   11    -46.13   -171.92   -345.78    388.91
1000022    -19.77   -145.49   -347.58    389.59
EVENT
   94   -339.38     -8.78   -317.67    465.68
  -13    -61.03    105.53     27.64    125.00
   13    -88.02    124.79     21.98    154.28
